map,wait_time_s,ping,kills,assists,deaths,mvps,hs_percent,points,result
Mirage,327.0,215.0,17.0,2.0,21.0,2.0,5.0,45.0,Win
Mirage,336.0,199.0,13.0,4.0,24.0,2.0,0.0,40.0,Lost
Mirage,414.0,85.0,15.0,3.0,18.0,3.0,26.0,37.0,Win
Mirage,317.0,93.0,12.0,2.0,15.0,2.0,16.0,30.0,Lost
Mirage,340.0,94.0,33.0,5.0,20.0,5.0,30.0,83.0,Tie
Mirage,391.0,88.0,13.0,2.0,17.0,1.0,38.0,34.0,Lost
Dust II,274.0,89.0,19.0,5.0,24.0,2.0,15.0,52.0,Lost
Mirage,291.0,82.0,17.0,1.0,25.0,0.0,35.0,37.0,Lost
Mirage,184.0,112.0,25.0,10.0,12.0,4.0,16.0,70.0,Win
Mirage,375.0,89.0,13.0,1.0,17.0,0.0,61.0,31.0,Lost
Dust II,208.0,87.0,17.0,4.0,12.0,3.0,47.0,44.0,Win
Cache,157.0,206.0,15.0,1.0,12.0,3.0,0.0,36.0,Win
Cache,426.0,196.0,8.0,2.0,18.0,0.0,0.0,22.0,Lost
Mirage,169.0,110.0,26.0,6.0,20.0,6.0,14.0,71.0,Lost
Cache,277.0,218.0,13.0,5.0,22.0,1.0,30.0,35.0,Win
Dust II,313.0,82.0,17.0,4.0,19.0,3.0,11.0,43.0,Win
Dust II,195.0,142.0,14.0,4.0,12.0,3.0,21.0,36.0,Win
Mirage,372.0,85.0,15.0,7.0,13.0,3.0,13.0,43.0,Win
Dust II,210.0,632.0,13.0,2.0,8.0,1.0,15.0,30.0,Win
Dust II,274.0,84.0,15.0,3.0,20.0,1.0,26.0,43.0,Lost
Cache,443.0,105.0,16.0,5.0,12.0,3.0,55.0,42.0,Win
Mirage,93.0,88.0,19.0,6.0,15.0,2.0,15.0,45.0,Win
Cache,250.0,98.0,11.0,5.0,21.0,4.0,9.0,44.0,Lost
Mirage,131.0,92.0,22.0,2.0,7.0,5.0,18.0,47.0,Win
Mirage,268.0,87.0,10.0,2.0,22.0,2.0,10.0,26.0,Lost
Mirage,319.0,93.0,21.0,6.0,18.0,3.0,14.0,56.0,Win
Mirage,334.0,90.0,12.0,7.0,11.0,2.0,50.0,35.0,Win
Mirage,153.0,95.0,15.0,6.0,12.0,0.0,6.0,39.0,Win
Mirage,529.0,94.0,25.0,1.0,20.0,2.0,24.0,56.0,Tie
Mirage,324.0,563.0,27.0,5.0,20.0,3.0,18.0,65.0,Win
Mirage,442.0,91.0,13.0,2.0,17.0,0.0,38.0,28.0,Lost
Cache,427.0,0.0,16.0,2.0,10.0,2.0,43.0,41.0,Win
Mirage,331.0,99.0,11.0,1.0,18.0,2.0,9.0,25.0,Lost
Cache,521.0,0.0,12.0,5.0,23.0,3.0,41.0,43.0,Lost
Mirage,110.0,104.0,14.0,3.0,15.0,1.0,42.0,31.0,Lost
Mirage,472.0,89.0,11.0,2.0,10.0,1.0,27.0,24.0,Win
Mirage,315.0,101.0,13.0,3.0,18.0,1.0,7.0,30.0,Lost
Mirage,288.0,92.0,24.0,3.0,6.0,6.0,16.0,64.0,Win
Mirage,376.0,88.0,27.0,3.0,21.0,1.0,29.0,64.0,Tie
Cache,503.0,112.0,23.0,3.0,7.0,6.0,21.0,54.0,Win
Mirage,472.0,93.0,6.0,1.0,14.0,0.0,0.0,15.0,Lost
Mirage,261.0,0.0,6.0,5.0,14.0,1.0,16.0,17.0,Win
Mirage,205.0,173.0,10.0,8.0,13.0,1.0,40.0,32.0,Lost
Mirage,154.0,99.0,12.0,1.0,4.0,3.0,8.0,31.0,Win
Mirage,337.0,100.0,10.0,6.0,19.0,1.0,40.0,26.0,Lost
Mirage,390.0,178.0,23.0,8.0,18.0,3.0,25.0,60.0,Win
Mirage,179.0,94.0,16.0,2.0,9.0,3.0,12.0,36.0,Win
Mirage,183.0,0.0,1.0,1.0,8.0,0.0,100.0,3.0,Lost
Mirage,164.0,90.0,22.0,1.0,10.0,6.0,26.0,55.0,Win
Mirage,319.0,112.0,18.0,5.0,16.0,1.0,27.0,41.0,Win
Mirage,411.0,358.0,17.0,4.0,19.0,2.0,11.0,46.0,Lost
Cache,20.0,198.0,13.0,5.0,16.0,2.0,23.0,36.0,Lost
Mirage,400.0,0.0,15.0,8.0,13.0,4.0,6.0,44.0,Win
Cache,399.0,0.0,12.0,7.0,20.0,2.0,16.0,41.0,Tie
Mirage,332.0,287.0,7.0,4.0,16.0,0.0,0.0,21.0,Lost
Dust II,374.0,104.0,10.0,6.0,20.0,0.0,40.0,27.0,Lost
Dust II,370.0,87.0,19.0,3.0,12.0,5.0,20.0,48.0,Win
Mirage,571.0,92.0,18.0,4.0,19.0,2.0,22.0,48.0,Lost
Cache,300.0,84.0,16.0,4.0,14.0,1.0,6.0,48.0,Win
Mirage,375.0,92.0,9.0,2.0,18.0,0.0,33.0,22.0,Lost
Dust II,299.0,86.0,5.0,5.0,20.0,0.0,40.0,16.0,Lost
Mirage,355.0,133.0,15.0,7.0,22.0,0.0,13.0,39.0,Lost
Cache,442.0,86.0,14.0,11.0,22.0,3.0,7.0,52.0,Win
Mirage,225.0,99.0,25.0,5.0,16.0,4.0,20.0,70.0,Win
Mirage,491.0,158.0,14.0,3.0,14.0,1.0,28.0,31.0,Lost
Mirage,305.0,85.0,28.0,5.0,12.0,7.0,10.0,70.0,Win
Mirage,411.0,106.0,11.0,6.0,17.0,1.0,27.0,33.0,Lost
Mirage,360.0,287.0,10.0,6.0,23.0,0.0,30.0,26.0,Lost
Mirage,277.0,0.0,10.0,5.0,17.0,1.0,30.0,26.0,Lost
Mirage,489.0,88.0,10.0,1.0,4.0,4.0,30.0,28.0,Win
Mirage,275.0,84.0,25.0,0.0,19.0,4.0,12.0,53.0,Lost
Mirage,351.0,119.0,15.0,5.0,27.0,3.0,13.0,48.0,Tie
Mirage,358.0,97.0,22.0,4.0,21.0,4.0,22.0,51.0,Tie
Mirage,283.0,92.0,8.0,1.0,11.0,3.0,25.0,24.0,Win
Cache,91.0,92.0,10.0,1.0,13.0,0.0,10.0,21.0,Lost
Mirage,518.0,101.0,16.0,8.0,18.0,1.0,37.0,48.0,Lost
Mirage,415.0,91.0,8.0,2.0,18.0,2.0,12.0,22.0,Lost
Mirage,348.0,88.0,19.0,5.0,14.0,4.0,21.0,49.0,Win
Mirage,379.0,90.0,36.0,5.0,17.0,4.0,22.0,89.0,Tie
Mirage,331.0,89.0,7.0,1.0,5.0,2.0,14.0,15.0,Win
Mirage,402.0,91.0,10.0,1.0,10.0,1.0,20.0,22.0,Win
Mirage,407.0,143.0,22.0,6.0,21.0,2.0,13.0,56.0,Lost
Mirage,435.0,121.0,17.0,6.0,20.0,3.0,23.0,46.0,Win
Mirage,186.0,150.0,16.0,3.0,19.0,3.0,12.0,46.0,Lost
Mirage,232.0,90.0,14.0,8.0,20.0,2.0,7.0,42.0,Lost
Dust II,355.0,82.0,11.0,5.0,15.0,2.0,36.0,29.0,Win
Dust II,348.0,84.0,19.0,4.0,10.0,2.0,10.0,42.0,Win
Mirage,284.0,86.0,18.0,6.0,13.0,4.0,27.0,47.0,Win
Cache,258.0,83.0,36.0,5.0,21.0,7.0,25.0,89.0,Lost
Dust II,185.0,0.0,25.0,3.0,15.0,3.0,24.0,64.0,Tie
Dust II,402.0,88.0,22.0,9.0,9.0,7.0,18.0,53.0,Win
Dust II,510.0,91.0,20.0,5.0,23.0,3.0,30.0,53.0,Tie
Dust II,352.0,89.0,15.0,4.0,11.0,0.0,26.0,37.0,Win
Cache,254.0,87.0,15.0,8.0,22.0,2.0,20.0,42.0,Lost
Cache,415.0,207.0,13.0,5.0,15.0,1.0,15.0,31.0,Lost
Overpass,296.0,0.0,7.0,4.0,15.0,0.0,14.0,19.0,Lost
Dust II,441.0,85.0,22.0,6.0,20.0,1.0,17.0,54.0,Lost
Mirage,393.0,200.0,14.0,7.0,14.0,2.0,28.0,37.0,Win
Dust II,406.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,Lost
Dust II,132.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,Lost
Mirage,383.0,89.0,18.0,2.0,3.0,2.0,11.0,39.0,Win
Mirage,332.0,198.0,10.0,3.0,11.0,1.0,10.0,30.0,Lost
Mirage,325.0,387.0,8.0,9.0,21.0,0.0,37.0,32.0,Lost
Mirage,177.0,103.0,15.0,4.0,18.0,3.0,40.0,45.0,Lost
Mirage,68.0,92.0,9.0,3.0,14.0,0.0,11.0,23.0,Lost
Mirage,277.0,185.0,11.0,4.0,21.0,1.0,36.0,37.0,Lost
Mirage,308.0,94.0,9.0,2.0,21.0,2.0,22.0,24.0,Lost
Mirage,291.0,90.0,19.0,6.0,22.0,2.0,26.0,46.0,Lost
Dust II,219.0,90.0,23.0,5.0,19.0,2.0,30.0,67.0,Lost
Dust II,245.0,92.0,14.0,5.0,19.0,2.0,28.0,37.0,Lost
Mirage,325.0,95.0,10.0,9.0,15.0,1.0,10.0,31.0,Win
Mirage,198.0,223.0,10.0,3.0,21.0,0.0,10.0,28.0,Lost
Mirage,315.0,93.0,12.0,0.0,16.0,0.0,16.0,25.0,Lost
Mirage,214.0,88.0,20.0,7.0,22.0,3.0,25.0,62.0,Lost
Mirage,133.0,88.0,18.0,3.0,12.0,3.0,27.0,53.0,Win
Mirage,43.0,95.0,24.0,4.0,13.0,4.0,16.0,60.0,Win
Mirage,266.0,98.0,10.0,8.0,14.0,1.0,30.0,28.0,Win
Mirage,262.0,94.0,16.0,7.0,18.0,2.0,31.0,45.0,Lost
Mirage,265.0,95.0,23.0,8.0,23.0,2.0,17.0,65.0,Win
Dust II,85.0,90.0,21.0,4.0,23.0,2.0,9.0,55.0,Tie
Mirage,219.0,89.0,17.0,5.0,21.0,1.0,17.0,47.0,Tie
